순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-TRX,트론,483.0,강력매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.44,0.73,0.82,100.0,70
2,KRW-SUN,썬,26.7,강력매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.23,0.53,0.21,100.1,70
3,KRW-JST,저스트,150.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.29,0.54,0.46,129.0,60
4,KRW-NEAR,니어프로토콜,2617.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),2,0.47,0.58,0.8,104.9,50
5,KRW-UNI,유니스왑,5325.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.36,0.33,0.72,107.0,50
6,KRW-PENDLE,펜들,2142.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.55,0.54,0.67,102.1,50
7,KRW-ORCA,오르카,1729.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.25,0.13,0.47,100.4,50
8,KRW-INJ,인젝티브,7630.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.4,0.87,1.13,122.2,40
9,KRW-JTO,지토,870.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),3,0.4,0.23,0.45,125.6,40
10,KRW-MMT,모멘텀,243.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.31,0.29,0.25,120.5,40
11,KRW-HOLO,홀로월드에이아이,101.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.8,1.29,0.47,104.6,10
12,KRW-ONDO,온도파이낸스,553.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.21,1.29,0.85,117.7,0
